key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-inventor-01,true,"UserIdentity{name: 'Miguel', surname: 'Inventor', email: 'inventor1@acme.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'Santi', surname: 'Inventor', email: 'inventor2@acme.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'Angela', surname: 'Inventor', email: 'inventor3@acme.com'}",inventor3,inventor3
user-account-fundraiser-01,true,"UserIdentity{name: 'Alejandro', surname: 'Recaudador', email: 'ar@acme.com'}",fundraiser1,fundraiser1
user-account-fundraiser-02,true,"UserIdentity{name: 'Luis', surname: 'Recaudador', email: 'lr@acme.com'}",fundraiser2,fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: 'Pablo', surname: 'Recaudador', email: 'pr@acme.com'}",fundraiser3,fundraiser3
user-account-administrator-02,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator2,administrator2
user-account-sponsor-01,true,"UserIdentity{name: 'Alberto', surname: 'Patrocinador', email: 'sponsor1@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Natalia', surname: 'Patrocinadora', email: 'sponsor2@acme.com'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: 'Jose', surname: 'Patrocinador', email: 'sponsor3@acme.com'}",sponsor3,sponsor3
user-account-spokesperson-01,true,"UserIdentity{name: 'Alice', surname: 'Spokesperson', email: 'sp1@acme.com'}",spokesperson1,spokesperson1
user-account-spokesperson-02,true,"UserIdentity{name: 'Bob', surname: 'Spokesperson', email: 'sp2@acme.com'}",spokesperson2,spokesperson2
user-account-spokesperson-03,true,"UserIdentity{name: 'Charlie', surname: 'Spokesperson', email: 'sp3@acme.com'}",spokesperson3,spokesperson3
